StatID,MatchID,PlayerID,MinutesPlayed,Goals,Assists,PassAccuracy,ShotsOnTarget
82,715,46,23,5,3,66,5
83,1593,698,63,1,2,97,4
84,811,779,57,4,3,93,1
85,721,363,3,2,1,68,1
86,340,273,34,4,0,86,5
87,2424,888,40,5,1,68,5
88,856,246,85,4,2,84,1
89,137,725,67,3,0,69,4
90,150,484,9,5,1,87,1
91,2322,547,90,4,2,66,3
92,936,785,17,5,1,73,2
93,1446,540,35,5,0,60,5
94,397,619,63,2,2,62,0
95,1288,733,34,5,2,73,2
96,2050,100,39,4,3,93,5
97,1417,657,28,0,1,82,1
98,1347,167,68,4,2,85,2
99,2049,814,84,4,0,55,2
100,1005,365,61,5,3,83,2
101,295,824,25,4,2,75,4
102,2413,833,50,0,1,57,4
103,168,331,74,0,3,94,3
104,1406,916,12,0,0,51,5
105,2211,20,54,5,2,50,4
106,1346,685,18,0,3,94,2
107,780,616,78,1,2,95,0
108,49,759,43,2,1,89,5
109,2011,694,31,1,0,79,2
110,1802,127,64,1,0,55,3
111,958,415,1,1,1,99,0
112,708,435,67,3,3,71,3
113,1081,659,86,4,2,82,4
114,469,149,18,4,3,98,0
115,1766,646,23,0,3,64,1
116,2084,465,4,1,1,87,5
117,1946,831,1,5,2,99,0
118,143,468,43,3,2,67,3
119,63,522,31,1,1,94,0
120,2407,139,77,0,2,78,4
121,1381,837,45,3,3,88,5
122,1422,108,19,5,3,79,4
123,981,374,90,2,2,75,2
124,152,585,54,2,0,98,3
125,916,887,36,3,3,100,5
126,1102,412,5,5,0,62,4
127,1925,887,73,3,3,97,3
128,1582,755,51,2,1,80,4
129,1494,25,46,0,2,74,2
130,2384,425,18,5,3,66,2
131,2067,741,55,2,0,63,2
132,40,784,77,2,0,83,0
133,768,818,6,3,3,53,3
134,1930,471,43,1,1,93,4
135,1603,843,82,2,0,75,0
136,2064,645,55,3,1,61,2
137,230,695,71,1,3,95,0
138,1695,132,27,0,3,91,0
139,617,324,65,0,0,67,3
140,1402,478,38,3,3,55,0
141,163,914,55,1,2,90,4
142,1695,896,77,4,3,62,4
143,2096,652,90,0,3,98,4
144,2017,626,42,5,1,69,4
145,1042,437,64,4,0,82,1
146,770,341,3,5,3,90,2
147,368,531,6,3,0,70,1
148,1467,286,47,4,0,62,2
149,1002,388,4,0,0,68,4
150,351,209,31,3,0,96,4
151,809,305,48,4,1,83,3
152,2347,343,88,5,2,81,0
153,1162,206,70,2,2,93,4
154,1507,201,68,4,2,50,2
155,180,695,51,0,3,55,1
156,872,154,43,3,3,93,5
157,1875,203,5,1,0,57,5
158,1215,43,5,3,1,98,0
159,314,762,63,5,1,86,1
160,2403,606,48,5,2,78,0
161,1252,527,38,3,0,99,3
162,589,347,33,1,3,60,2
163,2006,604,58,2,0,79,4
164,1995,208,38,0,3,85,5
165,1117,336,44,4,3,80,4
166,645,807,5,4,3,90,2
167,982,205,86,3,1,98,5
168,2165,98,81,0,1,98,4
169,1176,48,13,3,2,93,4
170,1735,287,70,4,3,69,3
171,92,541,12,5,1,91,2
172,1436,862,36,4,2,78,3
173,1725,249,61,0,1,87,2
174,1225,373,52,0,1,84,2
175,768,618,57,4,2,73,4
176,1023,141,34,1,1,93,3
177,113,309,12,3,0,70,0
178,2173,819,32,5,1,60,4
179,1080,318,25,0,3,94,1
180,1322,262,9,0,3,92,4
181,1336,409,26,4,0,54,1
182,926,328,30,4,1,100,5
183,87,821,89,0,2,56,1
184,304,202,83,5,0,88,4
185,2118,671,1,4,2,95,3
186,794,908,74,1,0,78,2
187,1068,80,63,1,0,58,2
188,2217,518,4,0,1,60,1
189,938,833,41,5,1,68,1
190,670,269,43,0,1,53,3
191,2238,791,67,4,0,96,2
192,749,697,79,3,1,77,3
193,2267,634,58,3,3,92,3
194,1087,893,70,0,3,68,1
195,1658,693,14,2,2,57,4
196,1343,724,1,1,1,85,0
197,462,787,19,3,3,87,3
198,1517,826,83,3,1,89,2
199,437,92,82,3,0,94,5
200,2172,770,0,5,1,65,4
201,625,703,52,4,2,55,2
202,1145,426,51,4,0,88,5
203,791,34,61,2,1,63,4
204,1857,195,25,2,3,56,1
205,383,561,78,0,2,75,0
206,1723,819,73,0,3,64,0
207,1744,212,33,5,2,94,5
208,1822,776,77,3,2,54,4
209,396,54,67,2,0,50,2
210,2352,421,31,4,2,69,2
211,1923,178,0,1,3,75,4
212,600,155,41,0,1,96,0
213,1031,452,61,0,2,70,4
214,165,99,48,4,3,62,3
215,2483,384,22,3,3,81,2
216,1911,519,62,4,3,74,4
217,2478,218,52,4,2,85,2
218,549,25,36,2,2,67,4
219,913,638,87,0,3,66,3
220,2316,239,79,5,0,53,3
221,2073,414,29,5,3,79,0
222,1310,432,80,2,0,92,0
223,1827,770,77,1,2,100,4
224,1027,170,63,0,2,89,4
225,1714,38,3,4,1,97,3
226,877,675,61,5,2,50,2
227,105,190,66,0,0,79,4
228,1896,625,50,5,2,96,0
229,1804,462,24,3,2,96,4
230,844,889,90,5,3,77,4
231,1731,313,36,0,3,80,1
232,2411,638,6,3,2,63,1
233,1613,692,79,5,2,77,1
234,1170,294,16,3,2,66,5
235,1715,584,31,1,3,70,3
236,1592,128,2,0,1,65,2
237,1789,752,3,1,3,97,3
238,1434,831,7,1,3,80,2
239,921,711,57,2,3,53,0
240,761,303,44,3,3,93,2
241,290,430,27,4,0,60,1
242,166,156,3,4,1,62,2
243,450,798,7,5,0,97,1
244,3,920,22,3,3,61,2
245,222,318,55,0,0,77,0
246,382,170,45,4,1,84,0
247,1095,835,3,4,0,80,0
248,2375,676,28,3,1,99,4
249,761,658,83,3,0,50,0
250,41,478,80,5,2,69,0
251,2275,34,68,5,1,90,4
252,2225,647,89,5,3,70,3
253,1545,248,69,3,0,82,1
254,334,647,89,3,1,73,0
255,1541,217,3,2,2,97,5
256,1120,75,30,3,2,65,1
257,1334,534,78,0,3,85,4
258,1339,461,45,5,0,84,2
259,2000,91,53,4,2,70,4
260,986,588,27,3,1,94,5
261,1133,286,63,4,2,76,2
262,441,401,76,4,1,82,4
263,352,480,19,0,0,84,0
264,2418,890,10,3,3,65,4
265,261,854,89,1,1,65,5
266,1692,377,23,2,2,60,4
267,1282,684,90,1,1,50,1
268,1651,631,31,2,1,58,1
269,2122,267,8,2,2,78,4
270,1897,626,48,0,2,58,5
271,2287,314,86,1,1,86,2
272,850,518,73,2,2,73,5
273,1795,870,78,0,3,91,1
274,436,343,52,2,1,56,3
275,879,358,36,5,3,70,3
276,1460,594,24,3,1,62,2
277,2400,403,38,4,3,91,2
278,1237,775,13,0,2,56,4
279,1938,766,85,2,1,86,3
280,1531,554,49,5,2,89,2
281,1405,596,67,0,3,90,3
282,1819,21,86,2,0,94,4
283,2166,463,69,1,1,56,5
284,526,494,42,4,1,85,1
285,868,456,14,5,3,66,2
286,1274,29,36,1,0,88,1
287,173,109,90,2,1,70,0
288,414,489,59,5,0,76,5
289,333,704,21,1,0,94,0
290,1145,72,62,4,2,53,4
291,1270,371,14,4,0,58,0
292,1282,730,21,5,1,58,3
293,1261,575,82,5,2,51,0
294,1215,6,3,4,3,73,4
295,716,590,73,2,0,76,1
296,1905,638,29,3,2,97,3
297,2108,705,68,2,3,52,5
298,2339,230,32,1,1,74,3
299,2480,435,21,4,3,51,5
300,1740,609,2,5,3,69,1
301,2347,82,90,1,2,57,2
302,644,212,14,1,1,75,3
303,2386,648,34,2,2,70,4
304,263,777,4,4,2,82,3
305,674,695,84,0,2,81,1
306,1481,510,28,5,1,54,4
307,1868,896,43,5,3,78,1
308,2485,206,14,0,3,78,4
309,1288,466,40,5,2,90,2
310,2442,703,50,2,3,66,2
311,1956,636,35,2,1,70,3
312,1078,205,29,0,2,58,5
313,1959,292,2,5,3,51,3
314,2246,128,10,2,3,94,3
315,1170,160,17,2,0,81,2
316,427,909,16,1,1,99,0
317,906,61,66,0,1,79,3
318,1624,114,88,1,2,56,1
319,1514,242,32,1,3,56,0
320,2231,178,49,5,3,76,3
321,2094,601,42,0,1,61,5
322,2065,682,38,0,2,76,3
323,710,221,51,4,2,74,4
324,1249,69,29,5,0,63,0
325,831,470,62,5,0,76,3
326,197,833,29,4,3,89,0
327,1632,330,25,4,1,98,3
328,1510,44,82,2,2,91,3
329,861,541,87,4,3,95,3
330,863,719,50,3,3,55,5
331,1200,398,44,4,3,54,3
332,1695,80,51,0,3,100,2
333,2184,773,42,5,0,97,3
334,245,197,73,0,1,91,2
335,543,63,85,4,3,98,5
336,186,784,85,1,0,92,5
337,1991,628,0,3,3,65,3
338,2026,758,23,4,3,53,0
339,1890,361,65,5,0,91,1
340,2148,92,16,2,1,87,1
341,1309,333,72,0,0,59,4
342,1833,478,20,2,0,76,3
343,1483,303,26,1,0,60,5
344,730,803,38,0,0,100,4
345,1942,544,80,5,0,76,1
346,187,920,1,5,0,58,1
347,1036,179,21,1,2,58,1
348,887,69,62,3,3,89,5
349,2131,72,67,3,1,58,2
350,187,169,70,3,2,77,2
351,2361,879,15,4,1,94,4
352,1696,633,61,0,1,74,2
353,2168,64,88,5,3,63,0
354,1694,187,61,0,3,76,0
355,260,467,67,3,0,96,1
356,1298,565,18,1,2,79,0
357,2482,539,63,1,2,56,2
358,2012,520,50,5,3,63,3
359,159,627,67,4,2,74,3
360,698,886,54,3,1,69,4
361,167,853,40,0,0,56,3
362,1480,790,5,0,3,61,0
363,144,161,77,1,3,58,1
364,305,166,8,1,1,65,4
365,2330,114,28,1,2,77,1
366,1677,339,0,5,3,52,0
367,2089,563,77,2,1,85,0
368,584,230,11,4,2,72,5
369,1693,262,60,2,1,58,1
370,2265,413,23,5,0,61,3
371,87,113,45,1,2,83,4
372,1289,891,53,2,3,86,2
373,1501,842,24,2,0,69,2
374,1251,664,87,2,1,51,1
375,993,275,31,3,2,51,1
376,1629,900,57,2,1,73,0
377,855,489,23,0,0,96,5
378,1628,801,65,4,1,66,1
379,1603,207,66,0,1,96,0
380,538,322,43,3,2,94,0
381,1734,549,3,3,1,60,2
382,689,310,76,3,1,79,5
383,712,606,2,4,2,56,4
384,1463,189,45,5,0,59,1
385,1002,540,50,2,3,59,5
386,794,257,5,3,0,79,3
387,2477,516,73,0,0,68,4
388,538,587,1,0,1,72,4
389,323,565,42,2,0,77,1
390,898,470,33,1,2,67,3
391,2200,316,17,5,2,77,5
392,173,501,88,1,3,80,0
393,399,175,69,5,0,97,4
394,1248,33,73,1,1,78,4
395,1743,804,58,0,1,60,4
396,501,765,3,0,2,79,0
397,1535,752,43,0,2,83,0
398,151,595,54,2,3,61,5
399,431,356,42,5,2,80,4
400,1020,917,88,3,0,58,5
401,1325,675,10,5,3,93,2
402,16,173,70,4,1,92,1
403,232,403,41,4,1,85,1
404,1483,49,77,0,3,62,4
405,764,376,33,1,0,77,4
406,605,497,82,5,3,69,3
407,1815,638,4,1,0,73,0
408,588,594,25,2,3,87,1
409,770,663,32,4,2,89,4
410,2141,753,12,5,1,66,4
411,1163,534,78,3,3,65,1
412,233,712,69,1,1,56,0
413,1112,830,18,1,0,90,2
414,529,414,63,4,1,53,0
415,2232,505,41,4,3,87,4
416,871,706,54,3,1,92,0
417,1026,144,3,0,2,91,3
418,1903,323,2,0,2,59,5
419,2094,875,37,0,1,91,5
420,1888,183,14,1,1,74,5
421,841,374,12,5,1,89,1
422,131,662,71,3,3,84,5
423,1526,751,63,4,1,85,5
424,1786,17,30,3,2,99,3
425,1200,152,24,4,3,66,5
426,1700,309,73,4,3,66,1
427,1967,622,1,1,2,64,3
428,12,183,68,2,3,87,2
429,749,794,21,4,0,68,0
430,2280,785,31,5,3,92,1
431,193,753,15,1,1,88,1
432,1341,160,16,4,0,81,1
433,1646,868,65,1,1,52,5
434,513,350,76,5,3,80,3
435,453,881,30,3,0,58,2
436,1675,893,36,5,0,93,3
437,888,699,75,3,2,97,4
438,2200,48,61,5,1,99,5
439,2465,889,47,4,3,81,5
440,1397,532,1,0,0,73,1
441,2241,877,89,1,3,69,2
442,653,147,82,1,3,50,5
443,1089,77,21,1,3,85,2
444,658,819,71,2,0,96,5
445,183,892,90,2,0,91,5
446,990,606,81,1,0,79,5
447,2020,605,44,3,3,86,4
448,1174,398,85,2,1,69,2
449,430,39,6,1,1,96,5
450,463,594,47,5,0,63,3
451,863,148,38,1,1,76,2
452,224,763,30,5,3,58,4
453,139,599,46,0,3,77,5
454,293,349,55,3,0,91,0
455,2074,856,22,3,2,96,4
456,848,682,34,0,1,52,3
457,816,546,88,5,3,86,2
458,553,525,16,5,1,99,5
459,466,729,14,2,1,82,3
460,2361,723,37,3,3,55,1
461,1520,14,72,3,0,92,5
462,1202,907,86,1,0,73,2
463,366,769,21,1,0,87,0
464,508,282,23,0,2,87,0
465,2410,774,40,0,3,57,2
466,2458,688,34,5,2,71,4
467,880,133,27,1,1,93,4
468,1116,345,2,0,3,54,4
469,1140,890,12,2,3,88,4
470,1527,911,45,1,0,72,2
471,1928,756,60,0,3,92,5
472,340,596,47,3,1,65,3
473,1384,207,50,0,1,91,0
474,1076,273,41,2,3,62,0
475,1368,414,56,0,2,56,2
476,1125,90,8,3,2,95,0
477,411,375,87,3,0,90,4
478,1808,211,11,1,0,75,4
479,553,167,19,4,0,59,2
480,990,122,44,0,2,66,4
481,50,616,29,1,3,100,4
482,451,3,11,5,1,98,3
483,143,163,60,1,0,88,3
484,106,7,21,0,0,79,1
485,648,463,15,0,0,98,5
486,933,315,41,5,2,67,0
487,1041,201,68,4,3,84,5
488,1768,378,56,2,3,94,1
489,2418,147,84,5,0,69,3
490,580,194,8,1,1,78,3
491,29,152,5,3,3,75,3
492,738,164,73,5,2,79,4
493,109,375,79,4,0,90,5
494,1231,280,82,0,1,84,0
495,1617,514,22,2,3,99,2
496,1719,773,74,0,1,60,3
497,1378,532,58,0,2,83,1
498,479,748,3,0,1,54,3
499,2285,445,15,3,2,98,0
500,740,469,45,3,1,99,4
501,1876,739,49,1,0,62,2
502,570,191,32,2,3,56,5
503,950,167,52,3,0,90,1
504,848,580,19,5,3,74,0
505,371,526,81,2,3,86,2
506,1418,137,4,0,3,67,1
507,2449,311,14,1,0,70,2
508,1926,504,86,5,2,99,5
509,774,713,16,0,2,52,0
510,2106,913,5,5,1,71,0
511,1140,487,64,4,1,51,0
512,622,561,48,3,3,90,4
513,1353,527,30,3,0,78,0
514,2489,338,66,1,0,91,5
515,1433,829,45,3,1,85,3
516,1894,85,66,4,0,74,0
517,323,891,36,0,2,62,5
518,1640,89,69,2,2,66,4
519,2016,216,39,2,0,94,2
520,1140,856,42,5,3,78,1
521,269,400,33,3,3,62,3
522,862,727,70,3,3,84,3
523,2075,500,86,5,1,94,3
524,1858,608,36,5,1,91,4
525,2054,668,41,4,2,51,3
526,2439,225,63,4,2,77,0
527,599,111,13,1,0,74,1
528,881,684,85,4,0,86,0
529,2341,548,85,0,2,93,1
530,42,227,23,2,0,86,5
531,319,194,12,3,1,81,1
532,360,654,87,3,2,88,1
533,2281,209,2,3,0,80,3
534,1468,185,28,0,2,87,1
535,581,548,31,0,0,65,5
536,1935,860,14,5,1,68,0
537,1501,668,38,5,0,67,2
538,2120,434,57,2,3,74,1
539,1174,872,23,2,3,97,1
540,1008,290,59,0,0,76,5
541,1723,45,55,2,2,67,0
542,540,326,83,5,3,61,3
543,2403,659,10,2,0,60,4
544,37,785,83,1,0,97,0
545,802,745,43,1,0,69,0
546,59,292,76,2,1,87,1
547,1646,890,21,5,3,78,1
548,912,133,8,0,0,68,2
549,875,471,37,0,3,71,0
550,324,741,65,1,1,91,3
551,587,591,65,5,0,69,0
552,976,577,3,3,0,60,1
553,2055,214,39,4,1,52,3
554,29,674,63,3,2,94,2
555,1960,758,25,0,3,88,4
556,123,587,81,0,2,90,2
557,960,843,8,4,3,86,3
558,689,873,55,4,3,94,4
559,303,322,55,2,1,84,4
560,1916,582,75,3,0,64,2
561,1514,571,59,4,3,96,1
562,2120,822,86,3,2,89,5
563,857,749,2,1,3,60,1
564,1717,497,83,4,1,72,1
565,481,91,75,0,0,59,5
566,950,830,40,1,0,98,3
567,1941,519,65,2,2,66,5
568,2489,776,85,3,3,83,4
569,2160,525,66,3,2,72,1
570,581,7,21,0,3,98,1
571,731,630,54,5,1,73,2
572,217,769,14,2,1,55,2
573,309,299,67,0,3,95,3
574,1918,56,5,2,1,69,0
575,594,17,21,5,0,73,0
576,1891,461,50,1,1,86,2
577,439,555,89,5,3,57,2
578,75,806,30,1,3,89,4
579,121,338,1,3,0,91,1
580,776,264,9,4,0,72,3
581,107,499,38,3,1,99,1
582,171,774,23,3,2,65,3
583,167,551,11,5,3,57,2
584,380,107,35,4,2,100,0
585,520,847,30,1,1,86,1
586,479,86,47,5,0,60,1
587,2458,444,90,0,2,70,5
588,2291,457,24,1,3,50,3
589,648,371,3,1,2,82,3
590,527,704,33,5,1,70,0
591,1895,224,60,2,1,59,2
592,499,195,5,0,0,81,2
593,1113,891,58,3,2,66,3
594,427,26,74,5,2,97,0
595,688,11,11,2,2,74,0
596,1120,822,44,5,3,56,2
597,578,712,17,2,0,54,5
598,2416,647,77,0,2,66,4
599,2283,57,16,0,0,66,3
600,1201,243,62,5,1,97,1
601,2404,584,50,4,3,96,0
602,2047,556,14,3,2,72,2
603,1663,490,3,0,2,69,0
604,762,610,63,2,0,98,3
605,2256,164,41,1,1,94,3
606,1821,33,46,1,0,75,3
607,1320,285,0,5,3,95,2
608,1452,728,10,3,1,78,4
609,1552,54,83,2,3,51,3
610,968,220,16,1,3,78,3
611,358,717,57,3,0,84,5
612,2174,591,67,1,3,93,3
613,300,110,86,0,0,99,1
614,1489,369,71,2,0,52,3
615,1601,567,70,3,1,93,5
616,101,230,16,1,2,76,2
617,62,102,14,3,3,65,2
618,1544,676,52,2,2,93,3
619,1292,686,58,4,2,69,2
620,1632,264,18,4,1,63,0
621,992,368,44,3,1,59,1
622,1406,644,35,3,3,81,3
623,2013,394,77,5,0,58,2
624,96,76,61,2,3,97,4
625,196,94,84,1,1,70,0
626,629,503,72,2,2,59,4
627,869,854,49,2,1,50,0
628,536,247,40,5,1,77,4
629,1272,196,1,2,1,99,2
630,1362,783,29,2,2,98,0
631,361,23,89,0,1,84,0
632,583,308,75,2,2,64,1
633,1766,892,55,0,1,54,1
634,293,334,33,5,2,80,5
635,1760,875,86,0,2,57,3
636,822,230,27,0,0,53,2
637,914,847,69,5,3,73,4
638,2061,754,33,0,0,85,3
639,1160,82,62,1,3,98,1
640,2018,303,62,3,3,81,4
641,2172,810,13,2,1,96,2
642,1168,666,43,4,3,72,4
643,1033,225,48,0,3,86,4
644,1073,734,53,3,1,100,5
645,225,10,59,4,3,88,4
646,2131,48,64,1,0,82,4
647,755,608,60,3,0,90,5
648,501,778,81,2,1,98,3
649,1772,2,44,1,1,97,5
650,639,404,44,4,0,99,3
651,688,324,29,5,1,86,1
652,1956,158,66,1,2,87,2
653,907,22,81,5,2,51,0
654,140,158,82,1,2,79,2
655,834,668,76,5,1,55,4
656,1927,746,10,1,2,79,5
657,825,73,42,5,3,85,5
658,1498,11,77,2,2,60,1
659,153,659,62,2,0,92,3
660,556,485,40,5,3,99,2
661,219,129,11,5,1,97,5
662,1473,75,72,5,3,65,4
663,2355,105,49,4,1,87,3
664,1077,803,53,5,3,95,3
665,858,189,54,4,3,96,1
666,1759,471,28,4,1,78,3
667,700,150,59,0,2,81,2
668,47,659,66,0,1,50,5
669,1073,375,71,5,2,78,0
670,918,19,16,0,3,82,2
671,2270,510,61,2,1,68,3
672,1332,309,53,0,2,70,1
673,613,199,9,1,1,89,0
674,1671,906,44,3,1,59,4
675,2352,796,37,2,3,54,1
676,52,706,46,2,2,85,5
677,725,99,30,3,1,84,0
678,2300,505,41,5,1,82,0
679,871,660,19,1,0,55,3
680,386,497,20,4,3,96,5
681,1773,40,70,2,0,67,1
682,163,502,6,5,2,60,4
683,1492,319,87,2,3,100,4
684,1722,429,18,4,2,67,2
685,1213,542,33,1,3,87,5
686,525,594,25,1,3,87,4
687,237,22,38,4,3,62,4
688,1146,237,4,4,0,96,2
689,1767,436,60,1,1,93,5
690,1642,176,33,1,1,67,4
691,1779,20,21,5,0,61,5
692,59,44,51,2,1,79,4
693,1222,245,27,0,2,50,0
694,240,506,68,5,2,91,1
695,1465,563,64,3,3,74,4
696,647,481,10,5,2,71,5
697,1058,847,34,5,0,94,4
698,2377,124,86,0,0,65,2
699,1401,214,16,2,2,89,3
700,791,515,74,4,1,97,0
701,341,88,30,2,3,53,2
702,716,808,16,2,3,67,3
703,825,489,83,0,2,81,2
704,1595,388,7,5,1,83,1
705,196,694,18,3,2,55,3
706,1364,66,18,2,0,83,1
707,760,74,60,5,2,73,0
708,1612,97,7,2,1,84,3
709,1243,163,26,0,3,64,5
710,2388,915,10,4,0,82,1
711,1574,355,26,2,1,67,3
712,2076,125,15,3,0,69,5
713,2084,409,7,2,0,83,5
714,75,19,61,3,0,81,3
715,1514,545,10,4,0,78,3
716,1863,859,57,5,2,54,3
717,2072,279,72,5,1,100,4
718,2212,123,58,2,1,84,5
719,2453,786,67,2,0,100,1
720,1948,393,89,1,1,73,1
721,2196,550,79,5,3,54,4
722,2021,531,64,0,0,64,4
723,265,697,69,0,2,87,2
724,24,810,89,1,3,67,4
725,1616,166,39,5,0,59,4
726,1223,581,42,4,2,64,5
727,250,797,83,4,3,79,1
728,1611,811,34,0,2,69,4
729,1045,720,85,1,1,73,1
730,2135,891,88,3,1,99,2
731,1083,805,31,4,0,97,3
732,2298,607,31,3,2,52,2
733,269,790,38,1,1,52,0
734,165,914,20,5,3,52,0
735,1205,361,50,0,1,75,3
736,1419,691,64,3,2,96,2
737,1822,138,22,0,1,78,1
738,1432,145,40,1,1,57,3
739,393,407,30,1,3,93,0
740,1557,314,32,1,1,64,3
741,689,760,9,3,1,90,2
742,2016,694,48,5,3,78,1
743,1666,514,61,0,3,80,3
744,1435,271,64,3,2,97,0
745,788,295,36,3,1,56,5
746,2475,386,3,4,1,84,3
747,305,860,14,4,0,92,4
748,1324,188,55,0,1,86,3
749,715,189,15,3,3,76,3
750,1582,418,31,3,0,71,1
751,143,361,22,1,3,53,5
752,2449,301,3,5,2,62,4
753,1583,95,30,5,2,84,2
754,1645,265,39,3,1,91,0
755,1593,671,1,4,2,57,3
756,427,337,41,1,2,56,2
757,2250,810,51,2,0,51,5
758,2459,204,25,1,3,60,1
759,1547,288,2,0,1,62,4
760,132,742,51,3,1,67,4
761,2499,634,9,4,1,66,1
762,1010,656,58,1,2,73,2
763,2087,893,70,4,2,59,4
764,1777,869,60,5,3,79,2
765,970,587,30,5,1,100,0
766,1603,138,22,5,3,50,0
767,1899,379,41,0,1,89,5
768,1121,726,32,4,1,95,2
769,369,801,64,0,2,61,4
770,2046,746,7,3,3,71,1
771,1514,560,14,5,3,86,2
772,608,863,71,5,3,72,5
773,2234,635,19,3,1,68,4
774,590,201,58,4,1,54,5
775,2308,210,44,1,3,78,4
776,682,228,34,5,1,90,1
777,1372,634,29,5,1,88,3
778,1409,2,23,3,0,100,2
779,1317,381,79,4,1,78,0
780,188,399,77,5,0,84,1
781,927,798,1,1,2,88,0
782,425,33,26,0,0,76,1
783,1487,724,26,3,0,69,3
784,2427,436,18,5,0,74,0
785,137,690,44,4,1,75,1
786,1097,313,17,4,2,99,4
787,1385,823,82,0,1,90,1
788,2369,780,33,4,1,91,1
789,1329,690,46,3,3,82,2
790,396,14,41,2,2,79,1
791,2177,654,82,0,2,63,1
792,1689,463,6,0,0,62,0
793,877,445,11,3,3,66,4
794,1186,733,36,4,1,53,5
795,1335,315,33,4,2,60,4
796,1319,152,13,4,0,80,4
797,428,360,22,5,1,84,5
798,1971,713,22,1,3,67,0
799,1665,65,71,1,2,61,5
800,843,187,87,3,0,97,3
801,104,107,79,0,0,69,2
802,129,707,86,4,3,54,5
803,1515,813,84,0,0,62,4
804,1239,304,88,3,0,56,0
805,608,736,21,5,3,86,3
806,521,349,49,3,2,61,0
807,1939,781,66,0,0,93,2
808,2240,31,43,4,3,56,1
809,564,534,8,5,2,95,4
810,116,746,75,0,1,60,4
811,333,842,53,2,2,50,1
812,479,353,44,0,2,71,5
813,1868,842,83,5,0,98,0
814,1833,665,23,0,1,82,5
815,1580,321,90,0,3,92,2
816,1680,920,27,0,2,61,4
817,1772,772,12,3,0,69,2
818,1369,878,24,1,3,63,1
819,248,570,63,3,1,58,3
820,2112,326,6,0,0,82,1
821,188,738,49,3,1,74,3
822,1952,507,68,4,2,82,1
823,2314,119,2,5,2,54,2
824,2351,699,31,1,3,57,0
825,741,405,4,4,3,100,3
826,1112,458,62,1,0,92,5
827,1860,265,6,3,0,70,2
828,740,7,13,4,3,93,4
829,1051,411,60,4,0,79,2
830,1859,75,73,5,3,89,1
831,2296,327,35,2,2,75,0
832,1849,294,86,0,3,99,3
833,1025,732,76,2,3,79,4
834,1556,391,70,0,1,54,4
835,1968,405,11,2,0,70,4
836,747,800,83,4,0,96,5
837,842,432,1,3,3,58,5
838,1311,891,56,3,0,97,5
