EventID,MatchID,PlayerID,EventType,Minute
115,2491,352,Substitution,48
116,2491,385,Offside,67
117,62,587,Offside,1
118,173,58,Injury,35
119,212,375,Injury,37
120,101,509,Yellow Card,55
121,1450,658,Substitution,43
122,121,112,Red Card,16
123,1474,718,Offside,14
124,127,92,Injury,33
125,2000,379,Injury,87
126,2344,111,Substitution,20
127,2174,28,Injury,13
128,914,724,Offside,79
129,2125,635,Offside,47
130,1226,905,Injury,13
131,2354,605,Offside,52
132,861,652,Red Card,61
133,2322,89,Injury,39
134,912,556,Yellow Card,13
135,1509,761,Substitution,27
136,1777,510,Yellow Card,79
137,610,630,Offside,2
138,698,439,Red Card,20
139,1804,493,Red Card,86
140,1682,910,Offside,42
141,961,313,Red Card,63
142,2062,5,Offside,65
143,159,587,Yellow Card,40
144,1515,113,Injury,33
145,520,729,Offside,68
146,569,660,Injury,68
147,2088,787,Substitution,90
148,1945,597,Substitution,90
149,1180,757,Offside,36
150,523,840,Substitution,39
151,2124,672,Yellow Card,59
152,1184,754,Offside,31
153,243,901,Substitution,15
154,1161,346,Yellow Card,50
155,2202,735,Injury,19
156,794,95,Injury,79
157,1398,844,Offside,70
158,465,596,Offside,83
159,206,793,Yellow Card,42
160,369,867,Yellow Card,80
161,1280,524,Offside,42
162,168,214,Substitution,66
163,836,167,Substitution,4
164,1213,425,Substitution,40
165,1389,40,Offside,46
166,1641,354,Yellow Card,7
167,485,657,Injury,72
168,1448,401,Substitution,60
169,979,36,Offside,77
170,2463,583,Red Card,46
171,2096,10,Red Card,56
172,550,771,Yellow Card,81
173,2085,507,Yellow Card,38
174,1760,14,Red Card,90
175,526,145,Offside,18
176,2426,443,Yellow Card,85
177,2092,571,Injury,35
178,1594,847,Injury,23
179,269,74,Substitution,35
180,272,247,Red Card,1
181,641,131,Substitution,42
182,2066,612,Substitution,40
183,212,191,Offside,32
184,1636,93,Red Card,2
185,1423,179,Red Card,44
186,699,682,Offside,24
187,2372,21,Substitution,53
188,1246,761,Injury,15
189,1534,528,Red Card,56
190,603,914,Red Card,19
191,263,66,Red Card,59
192,2284,416,Injury,28
193,1661,819,Red Card,34
194,766,461,Yellow Card,83
195,2206,679,Red Card,37
196,1219,770,Injury,15
197,1859,339,Offside,37
198,265,239,Offside,33
199,747,711,Substitution,77
200,1159,900,Substitution,46
201,1887,568,Yellow Card,44
202,1304,133,Injury,68
203,516,760,Red Card,2
204,67,834,Offside,66
205,478,309,Red Card,22
206,1317,141,Injury,19
207,1089,656,Offside,82
208,322,744,Substitution,52
209,1212,477,Yellow Card,85
210,1543,226,Offside,35
211,869,188,Red Card,31
212,1537,716,Substitution,47
213,112,115,Offside,64
214,2157,25,Offside,30
215,1702,338,Injury,89
216,1270,581,Offside,10
217,2131,284,Substitution,24
218,921,381,Yellow Card,53
219,1776,632,Yellow Card,25
220,368,46,Red Card,88
221,834,502,Red Card,9
222,791,812,Substitution,25
223,1864,410,Substitution,20
224,1460,14,Red Card,48
225,1096,500,Red Card,90
226,220,509,Substitution,35
227,36,44,Substitution,36
228,295,664,Injury,68
229,1411,665,Substitution,70
230,1617,600,Substitution,33
231,2400,138,Offside,13
232,544,233,Injury,83
233,692,313,Yellow Card,77
234,1755,554,Offside,18
235,1654,695,Offside,51
236,2202,744,Injury,13
237,1202,758,Offside,77
238,1629,533,Offside,29
239,961,746,Yellow Card,37
240,1968,27,Substitution,74
241,193,496,Injury,89
242,1076,760,Red Card,74
243,1355,395,Offside,78
244,1676,832,Substitution,12
245,1474,865,Substitution,47
246,140,257,Red Card,1
247,1205,149,Offside,69
248,2189,419,Yellow Card,17
249,711,733,Yellow Card,14
250,617,878,Substitution,27
251,404,462,Substitution,12
252,2069,614,Injury,84
253,1977,703,Substitution,29
254,1162,230,Offside,80
255,624,80,Substitution,71
256,778,804,Substitution,59
257,1502,666,Offside,49
258,2025,586,Substitution,82
259,1062,539,Substitution,19
260,1826,685,Offside,71
261,1742,914,Substitution,30
262,2392,325,Yellow Card,40
263,546,865,Yellow Card,2
264,628,456,Substitution,44
265,1839,870,Offside,20
266,1185,471,Offside,68
267,125,659,Offside,20
268,647,443,Red Card,13
269,1670,577,Red Card,66
270,1212,741,Yellow Card,31
271,1771,89,Red Card,67
272,1755,408,Substitution,74
273,666,155,Injury,1
274,1578,312,Offside,71
275,1441,728,Red Card,9
276,1310,166,Substitution,2
277,1396,920,Substitution,45
278,412,622,Yellow Card,29
279,2337,419,Substitution,34
280,2299,614,Substitution,43
281,2076,638,Yellow Card,52
282,460,862,Red Card,26
283,1719,461,Substitution,20
284,1883,189,Offside,57
285,1522,192,Injury,21
286,1915,393,Offside,90
287,328,882,Red Card,86
288,2359,87,Offside,50
289,1776,613,Injury,81
290,1709,369,Injury,25
291,494,380,Injury,89
292,34,905,Red Card,45
293,938,429,Substitution,59
294,2052,753,Injury,19
295,1711,806,Red Card,3
296,785,610,Injury,49
297,124,91,Substitution,18
298,752,542,Red Card,67
299,240,528,Offside,17
300,1087,744,Injury,18
301,1514,843,Yellow Card,19
302,2311,339,Substitution,6
303,93,338,Offside,40
304,111,235,Substitution,28
305,1515,337,Red Card,34
306,1817,598,Substitution,69
307,1728,838,Substitution,82
308,2053,414,Yellow Card,76
309,167,45,Red Card,14
310,2279,670,Substitution,22
311,2359,725,Red Card,8
312,285,381,Yellow Card,38
313,2463,781,Red Card,29
314,282,610,Red Card,67
315,470,848,Offside,77
316,1273,313,Substitution,87
317,1626,64,Offside,38
318,596,422,Yellow Card,80
319,850,480,Substitution,60
320,472,151,Yellow Card,81
321,1055,532,Offside,45
322,2214,891,Red Card,38
323,1260,24,Substitution,52
324,2351,887,Offside,7
325,1485,639,Substitution,52
326,1188,528,Substitution,13
327,2265,37,Offside,29
328,1400,424,Yellow Card,47
329,1047,648,Red Card,50
330,387,272,Substitution,87
331,380,197,Offside,66
332,550,213,Yellow Card,10
333,718,273,Substitution,39
334,1868,239,Substitution,9
335,1768,342,Red Card,76
336,450,341,Offside,31
337,1642,850,Yellow Card,67
338,2030,277,Substitution,26
339,1180,339,Injury,6
340,1682,179,Injury,74
341,1590,322,Substitution,58
342,85,532,Substitution,89
343,1936,212,Offside,18
344,411,62,Yellow Card,45
345,1282,348,Yellow Card,24
346,2412,246,Injury,72
347,878,753,Substitution,82
348,1796,647,Injury,4
349,1997,55,Offside,1
350,624,823,Red Card,40
351,2460,101,Red Card,75
352,1001,632,Red Card,75
353,1599,325,Yellow Card,82
354,1728,174,Substitution,73
355,2284,768,Injury,23
356,254,758,Yellow Card,25
357,2337,432,Red Card,79
358,1093,711,Substitution,89
359,2418,355,Yellow Card,90
360,1995,772,Yellow Card,68
361,2213,720,Injury,67
362,134,367,Red Card,10
363,738,383,Red Card,28
364,375,298,Yellow Card,71
365,67,456,Red Card,18
366,1161,316,Yellow Card,3
367,2166,93,Red Card,41
368,2251,32,Offside,16
369,1912,582,Offside,76
370,987,92,Yellow Card,26
371,726,886,Injury,7
372,308,756,Yellow Card,64
373,569,870,Offside,21
374,2469,913,Offside,79
375,322,18,Yellow Card,78
376,2456,829,Injury,62
377,19,657,Injury,34
378,2191,520,Red Card,81
379,2260,134,Substitution,27
380,2344,639,Yellow Card,71
381,550,889,Yellow Card,89
382,780,162,Yellow Card,86
383,1886,100,Injury,3
384,1085,291,Yellow Card,85
385,2215,200,Injury,31
386,1380,699,Offside,82
387,1482,72,Offside,60
388,1339,740,Offside,51
389,2252,740,Injury,24
390,1565,393,Injury,37
391,1655,201,Injury,47
392,2051,382,Red Card,36
393,2037,269,Red Card,85
394,2401,519,Offside,28
395,288,150,Yellow Card,49
396,1862,900,Injury,9
397,88,871,Substitution,17
398,2024,766,Red Card,29
399,577,483,Offside,30
400,1422,158,Offside,36
401,1650,881,Substitution,42
402,1896,829,Yellow Card,22
403,822,362,Injury,31
404,1839,118,Substitution,87
405,393,81,Red Card,2
406,123,731,Substitution,30
407,1173,437,Offside,34
408,2379,690,Substitution,31
409,1162,150,Injury,3
410,2164,49,Red Card,85
411,383,245,Offside,47
412,1913,4,Yellow Card,46
413,1741,62,Red Card,74
414,2429,147,Yellow Card,25
415,67,581,Substitution,36
416,961,666,Yellow Card,12
417,574,447,Offside,3
418,1673,824,Offside,53
419,1465,511,Injury,81
420,2496,139,Substitution,13
421,1419,540,Offside,69
422,2385,769,Yellow Card,85
423,1586,881,Yellow Card,14
424,1840,215,Red Card,53
425,1019,835,Substitution,34
426,328,232,Red Card,68
427,1667,106,Substitution,38
428,2047,97,Yellow Card,77
429,168,490,Injury,14
430,175,223,Injury,17
431,934,568,Injury,55
432,2244,479,Injury,11
433,209,825,Substitution,63
434,1002,867,Substitution,56
435,18,812,Injury,24
436,1027,113,Yellow Card,45
437,2104,742,Injury,69
438,1713,880,Offside,77
439,2124,429,Substitution,17
440,376,727,Red Card,25
441,134,858,Substitution,47
442,1843,468,Yellow Card,85
443,1250,682,Substitution,47
444,553,673,Red Card,23
445,1819,248,Offside,30
446,1974,377,Substitution,43
447,274,581,Yellow Card,57
448,33,146,Yellow Card,72
449,942,815,Offside,54
450,1453,450,Offside,85
451,181,145,Yellow Card,71
452,249,816,Yellow Card,32
453,1755,175,Red Card,3
454,2219,9,Red Card,31
455,264,181,Yellow Card,80
456,2022,172,Offside,58
457,1778,271,Red Card,72
458,1261,337,Red Card,6
459,2043,428,Offside,74
460,1788,282,Injury,37
461,1439,339,Yellow Card,28
462,1496,754,Red Card,58
463,118,474,Red Card,12
464,1294,512,Red Card,53
465,1982,230,Substitution,26
466,666,625,Yellow Card,88
467,1638,53,Offside,76
468,145,761,Substitution,49
469,65,760,Yellow Card,51
470,2454,635,Substitution,63
471,62,611,Offside,10
472,906,331,Red Card,69
473,547,44,Substitution,29
474,2023,577,Yellow Card,22
475,677,527,Red Card,72
476,1758,17,Substitution,9
477,877,48,Offside,14
478,2362,189,Red Card,36
479,846,466,Red Card,38
480,2302,307,Injury,85
481,1738,844,Offside,2
482,935,409,Yellow Card,50
483,971,37,Offside,39
484,2417,328,Substitution,85
485,408,565,Red Card,47
486,1280,548,Red Card,14
487,2451,178,Red Card,60
488,1117,330,Offside,73
489,2428,217,Offside,38
490,1419,609,Red Card,72
491,2349,216,Substitution,61
492,1313,36,Offside,24
493,912,202,Offside,3
494,1080,857,Offside,62
495,274,91,Offside,15
496,1082,920,Yellow Card,64
497,1357,586,Substitution,21
498,934,260,Injury,87
499,1779,880,Injury,49
500,965,396,Red Card,33
501,2048,135,Red Card,84
502,1096,127,Offside,80
503,1017,735,Injury,8
504,1771,117,Substitution,90
505,222,828,Injury,20
506,1906,336,Injury,37
507,1997,752,Yellow Card,69
508,1914,405,Substitution,22
509,784,786,Red Card,9
510,1502,907,Red Card,60
511,1344,438,Substitution,48
512,1136,237,Red Card,79
513,811,270,Yellow Card,47
514,1165,420,Injury,48
515,371,682,Yellow Card,50
516,2131,810,Injury,2
517,1209,896,Substitution,46
518,1135,865,Offside,42
519,520,618,Substitution,84
520,1197,281,Substitution,38
521,606,760,Offside,45
522,167,645,Substitution,66
523,2483,173,Yellow Card,75
524,408,223,Substitution,29
525,2029,144,Yellow Card,67
526,672,550,Substitution,32
527,1324,231,Yellow Card,49
528,2067,479,Red Card,13
529,596,916,Yellow Card,28
530,2431,138,Injury,57
531,1732,758,Red Card,39
532,592,797,Offside,86
533,400,178,Offside,56
534,1918,324,Offside,55
535,2082,475,Injury,56
536,2049,374,Substitution,61
537,2266,439,Offside,83
538,2243,790,Offside,57
539,200,902,Substitution,2
540,18,576,Red Card,11
541,1788,134,Yellow Card,72
542,2103,375,Substitution,18
543,2445,807,Yellow Card,33
544,605,873,Substitution,71
545,2476,333,Red Card,87
546,1097,856,Red Card,2
547,2317,266,Red Card,87
548,853,789,Substitution,20
549,2110,54,Offside,56
550,2175,299,Offside,38
551,959,65,Yellow Card,8
552,710,587,Red Card,46
553,2006,692,Offside,90
554,525,667,Substitution,68
555,2103,378,Yellow Card,85
556,845,380,Yellow Card,1
557,1064,908,Yellow Card,71
558,716,472,Offside,51
559,2197,189,Yellow Card,44
560,2146,814,Yellow Card,81
561,2327,104,Red Card,26
562,419,62,Substitution,38
563,230,436,Offside,38
564,1814,705,Injury,56
565,1955,23,Yellow Card,16
566,155,686,Red Card,8
567,1555,823,Red Card,12
568,1662,76,Red Card,67
569,1692,631,Yellow Card,79
570,1056,274,Injury,38
571,84,382,Red Card,56
572,2477,571,Substitution,52
573,1827,206,Offside,27
574,2140,370,Offside,67
575,140,198,Injury,35
576,945,355,Red Card,57
577,408,406,Injury,44
578,2111,229,Red Card,83
579,1758,626,Offside,21
580,679,464,Injury,1
581,1816,483,Offside,85
582,188,260,Injury,27
583,60,197,Offside,25
584,1555,4,Offside,83
585,2002,447,Red Card,1
586,1477,440,Yellow Card,24
587,1934,408,Substitution,38
588,1627,413,Offside,18
589,1620,337,Offside,28
590,1363,642,Red Card,58
591,1143,179,Red Card,56
592,770,874,Injury,9
593,440,596,Red Card,63
594,2063,168,Substitution,15
595,1474,242,Offside,52
596,1512,176,Injury,6
597,2478,311,Red Card,53
598,1292,53,Offside,7
599,1861,473,Injury,5
600,2328,365,Offside,73
601,1055,753,Red Card,77
602,1656,71,Injury,36
603,1589,735,Substitution,55
604,1313,191,Yellow Card,29
605,675,845,Yellow Card,59
606,1066,42,Substitution,19
607,1592,108,Offside,31
608,888,706,Injury,29
609,842,213,Red Card,12
610,1491,95,Offside,19
611,1056,132,Substitution,21
612,2281,822,Red Card,46
613,1005,164,Substitution,53
614,1293,172,Substitution,44
615,531,169,Substitution,48
616,654,315,Substitution,60
617,403,846,Yellow Card,67
618,1641,703,Yellow Card,68
619,967,664,Offside,82
620,1489,369,Injury,70
621,612,542,Injury,56
622,2469,476,Yellow Card,9
623,1868,171,Substitution,40
624,1386,365,Red Card,42
625,568,802,Injury,33
626,1429,420,Red Card,61
627,1507,307,Red Card,89
628,2163,691,Yellow Card,62
629,1137,129,Substitution,5
630,1033,715,Yellow Card,8
631,252,914,Injury,31
632,1798,184,Offside,64
633,840,383,Yellow Card,45
634,659,240,Offside,40
635,138,881,Yellow Card,15
636,2193,585,Red Card,38
637,997,481,Red Card,59
638,1652,333,Injury,18
639,1569,436,Offside,38
640,1463,734,Yellow Card,77
641,1167,501,Offside,37
642,1563,810,Yellow Card,14
643,1270,316,Yellow Card,43
644,872,501,Injury,41
645,1625,145,Substitution,45
646,2262,556,Red Card,22
647,2227,856,Injury,61
648,1740,473,Yellow Card,62
649,641,505,Offside,85
650,647,896,Offside,71
651,230,414,Yellow Card,55
652,420,198,Injury,7
653,1394,662,Injury,56
654,1113,508,Red Card,58
655,2309,30,Offside,27
656,1453,128,Yellow Card,61
657,1277,273,Yellow Card,89
658,844,141,Red Card,86
659,519,116,Offside,13
660,643,307,Substitution,21
661,115,847,Red Card,48
662,2315,885,Yellow Card,5
663,1489,191,Substitution,87
664,758,63,Injury,38
665,2156,599,Yellow Card,88
666,560,714,Substitution,52
667,913,816,Yellow Card,10
668,1764,74,Injury,30
669,166,70,Red Card,81
670,1805,612,Yellow Card,73
671,521,341,Offside,63
672,968,900,Injury,65
673,2296,193,Red Card,74
674,1917,140,Offside,22
675,1517,769,Injury,40
676,1725,295,Substitution,50
677,778,308,Offside,62
678,976,918,Yellow Card,52
679,548,345,Red Card,12
680,2449,729,Injury,19
681,1382,894,Substitution,12
682,2408,530,Yellow Card,80
683,99,23,Yellow Card,77
684,781,261,Offside,69
685,1227,821,Red Card,43
686,1205,712,Offside,82
687,220,489,Injury,18
688,31,24,Substitution,30
689,797,863,Substitution,63
690,500,631,Injury,66
691,1170,582,Offside,64
692,175,325,Injury,35
693,1068,839,Red Card,86
694,1155,275,Yellow Card,78
695,318,160,Injury,41
696,1955,288,Injury,43
697,615,172,Red Card,24
698,51,834,Injury,14
699,871,463,Substitution,41
700,602,214,Offside,85
701,2347,159,Red Card,34
702,242,110,Yellow Card,23
703,1972,713,Offside,54
704,854,278,Red Card,69
705,446,157,Offside,18
706,1288,346,Substitution,32
707,823,158,Injury,21
708,1179,692,Offside,59
709,2272,69,Yellow Card,2
710,1140,561,Injury,12
711,1414,99,Offside,90
712,2052,913,Injury,44
713,1437,61,Red Card,5
714,1507,138,Substitution,39
715,1197,265,Red Card,75
716,872,5,Yellow Card,83
717,748,681,Red Card,40
718,452,96,Substitution,63
719,1463,806,Injury,3
720,491,197,Substitution,83
721,2254,791,Substitution,15
722,1541,118,Offside,69
723,1522,93,Injury,19
724,1186,721,Yellow Card,31
725,1492,420,Injury,58
726,558,503,Offside,27
727,1942,48,Injury,13
728,596,380,Red Card,9
729,966,712,Red Card,58
730,2059,832,Substitution,81
731,2139,196,Offside,65
732,727,340,Substitution,16
733,516,291,Injury,77
734,1110,320,Red Card,42
735,1147,525,Substitution,49
736,2475,368,Injury,84
737,2377,160,Red Card,64
738,288,172,Injury,23
739,724,51,Offside,25
740,2011,342,Yellow Card,51
741,1236,111,Red Card,77
742,2228,480,Injury,56
743,1643,276,Substitution,44
744,440,548,Yellow Card,88
745,2089,381,Substitution,68
746,769,800,Red Card,6
747,76,457,Injury,68
748,267,344,Red Card,22
749,171,826,Offside,7
750,570,850,Injury,54
751,2341,132,Injury,46
752,1297,847,Offside,12
753,1831,243,Substitution,61
754,1006,39,Injury,68
755,371,684,Offside,50
756,2486,210,Yellow Card,22
757,879,7,Red Card,20
758,984,137,Substitution,61
759,2199,596,Substitution,22
760,1712,93,Yellow Card,58
761,1056,138,Injury,63
762,1222,522,Yellow Card,69
763,449,636,Yellow Card,83
764,406,524,Injury,68
765,2239,36,Injury,24
766,64,131,Substitution,55
767,608,516,Red Card,28
768,276,483,Red Card,84
769,2279,616,Offside,7
770,845,606,Injury,10
771,313,702,Injury,42
772,1846,251,Yellow Card,52
773,1724,235,Offside,14
774,1626,552,Substitution,41
775,1941,512,Red Card,40
776,1152,62,Injury,81
777,453,83,Substitution,71
778,37,692,Red Card,83
779,1238,617,Injury,8
780,49,600,Injury,37
781,1210,707,Substitution,2
782,791,553,Substitution,9
783,1262,450,Substitution,48
784,1403,516,Red Card,37
785,1413,193,Offside,28
786,2304,406,Offside,83
787,626,341,Offside,4
788,486,347,Yellow Card,62
789,2052,8,Yellow Card,14
790,2425,103,Injury,67
791,1018,709,Yellow Card,28
792,1378,121,Yellow Card,74
793,506,57,Yellow Card,46
794,433,346,Offside,29
795,2433,348,Injury,63
796,1829,3,Yellow Card,78
797,2184,595,Substitution,14
798,912,31,Red Card,1
799,1350,490,Substitution,89
800,252,42,Substitution,21
801,485,234,Injury,74
802,2484,901,Substitution,25
803,397,271,Red Card,29
804,135,270,Injury,42
805,772,399,Injury,39
806,916,613,Offside,7
807,1810,315,Yellow Card,23
808,2076,857,Offside,61
809,1424,612,Injury,71
810,1809,843,Substitution,33
811,1401,805,Substitution,17
812,356,84,Substitution,44
813,780,471,Injury,7
814,2120,456,Yellow Card,9
815,781,209,Injury,68
816,2478,630,Red Card,35
817,866,65,Yellow Card,86
818,1775,366,Yellow Card,52
819,155,88,Red Card,72
820,2030,626,Offside,57
821,25,66,Substitution,79
822,152,587,Red Card,67
823,520,832,Substitution,31
824,1005,9,Yellow Card,33
825,1975,364,Yellow Card,47
826,1804,677,Yellow Card,17
827,100,288,Red Card,3
828,1566,751,Substitution,76
829,280,582,Yellow Card,86
830,100,831,Red Card,52
831,1703,680,Injury,40
832,2181,197,Red Card,6
833,2087,286,Substitution,79
834,1475,233,Red Card,75
835,2324,136,Substitution,67
836,422,389,Substitution,67
837,248,846,Substitution,67
838,382,740,Red Card,68
839,1503,789,Yellow Card,25
840,1673,519,Red Card,61
841,2353,408,Substitution,24
842,1067,917,Red Card,80
843,761,434,Yellow Card,61
844,367,374,Injury,81
845,2263,239,Red Card,75
846,1508,370,Injury,88
847,278,546,Red Card,55
848,749,416,Red Card,37
849,2174,200,Offside,45
850,1195,693,Yellow Card,18
851,1351,862,Yellow Card,66
852,1926,117,Offside,2
853,503,673,Injury,6
854,673,482,Offside,3
855,2003,521,Offside,18
856,2397,215,Injury,50
857,1830,164,Substitution,36
858,1506,403,Red Card,45
859,1787,872,Offside,69
860,2465,436,Offside,19
861,598,866,Offside,65
862,541,762,Red Card,12
863,2076,869,Yellow Card,44
864,584,504,Yellow Card,63
865,1839,725,Yellow Card,14
866,395,109,Injury,56
867,747,829,Red Card,32
868,1906,770,Red Card,21
869,1012,825,Substitution,38
870,1267,730,Offside,9
871,921,792,Injury,21
872,1437,802,Injury,43
873,917,177,Offside,78
874,2295,649,Yellow Card,73
875,2247,109,Offside,60
876,2425,744,Red Card,4
877,536,429,Yellow Card,85
878,115,402,Offside,41
879,1789,36,Injury,32
880,2445,588,Offside,32
881,238,413,Offside,19
882,554,608,Substitution,77
883,2299,1,Yellow Card,8
884,866,192,Substitution,83
885,308,54,Yellow Card,57
886,2361,297,Yellow Card,29
887,1279,41,Injury,70
888,1457,230,Substitution,21
889,2091,752,Red Card,81
890,1977,516,Substitution,49
891,2355,42,Offside,17
892,1301,180,Offside,6
893,544,396,Substitution,35
894,1624,317,Substitution,55
895,1954,284,Injury,59
896,514,157,Yellow Card,90
897,2087,919,Yellow Card,54
898,1354,116,Red Card,4
899,1344,527,Offside,12
900,1907,275,Red Card,7
901,1553,641,Offside,86
902,2417,902,Yellow Card,53
903,2155,691,Yellow Card,80
904,55,698,Red Card,73
905,1116,425,Red Card,25
906,134,393,Offside,60
907,1383,491,Substitution,3
908,2324,239,Substitution,16
909,462,631,Injury,81
910,2462,240,Red Card,12
911,733,302,Yellow Card,41
912,11,676,Substitution,87
913,1022,689,Offside,37
914,2390,615,Red Card,9
915,1467,830,Offside,55
916,981,31,Red Card,33
917,358,454,Substitution,42
918,1013,417,Injury,75
919,2383,365,Red Card,63
920,11,252,Injury,15
921,418,706,Red Card,35
922,1649,904,Substitution,86
923,137,793,Red Card,56
924,249,845,Offside,60
925,2031,730,Yellow Card,71
926,1082,694,Injury,16
927,1522,65,Offside,81
928,1102,469,Yellow Card,71
929,1304,64,Offside,18
930,2018,509,Red Card,87
931,1738,78,Substitution,3
932,1155,193,Offside,28
933,1574,372,Yellow Card,89
934,2126,166,Yellow Card,26
935,82,633,Yellow Card,28
936,917,537,Offside,68
937,2494,469,Yellow Card,22
938,1131,133,Yellow Card,61
939,1125,92,Injury,39
940,489,830,Injury,64
941,485,208,Yellow Card,27
942,1974,625,Injury,42
943,2389,784,Injury,44
944,2258,94,Red Card,58
945,1545,771,Injury,50
946,585,558,Injury,49
947,1191,753,Red Card,35
948,334,822,Substitution,9
949,1789,56,Offside,23
950,2401,358,Offside,9
951,769,133,Offside,69
952,1285,846,Substitution,41
953,931,614,Red Card,51
954,807,645,Substitution,64
955,1368,862,Red Card,43
956,645,566,Offside,51
957,802,878,Offside,14
958,1563,288,Yellow Card,62
959,2179,653,Substitution,53
960,1685,291,Red Card,10
961,933,293,Red Card,17
962,339,554,Offside,59
963,1212,277,Red Card,38
964,458,540,Substitution,71
965,387,151,Substitution,81
966,1163,834,Yellow Card,90
967,1404,532,Offside,55
968,1724,312,Substitution,83
969,1179,332,Injury,21
970,573,830,Offside,67
971,2295,384,Red Card,12
972,1425,264,Substitution,35
973,1482,546,Red Card,13
974,1361,342,Injury,41
975,706,556,Offside,32
976,1406,630,Yellow Card,15
977,2157,556,Red Card,13
978,298,602,Red Card,20
979,2,915,Injury,6
980,2384,115,Substitution,89
981,1828,415,Offside,17
982,702,16,Injury,59
983,1380,636,Red Card,44
984,188,740,Red Card,47
985,1988,299,Offside,20
986,659,288,Offside,16
987,517,444,Offside,44
988,1931,339,Injury,68
989,2497,254,Red Card,69
990,1270,106,Offside,64
991,459,234,Red Card,58
992,2296,742,Substitution,65
993,1266,86,Red Card,33
994,1696,762,Injury,16
995,483,187,Injury,32
996,2187,347,Substitution,68
997,878,881,Yellow Card,65
998,813,10,Red Card,25
999,326,538,Yellow Card,1
1000,880,788,Red Card,44
1001,565,405,Yellow Card,90
1002,332,356,Substitution,76
1003,1333,356,Yellow Card,36
1004,826,682,Offside,61
1005,915,643,Yellow Card,19
1006,2063,135,Injury,78
1007,697,462,Yellow Card,66
1008,981,896,Yellow Card,1
1009,1685,128,Offside,21
1010,458,794,Red Card,18
1011,1026,497,Red Card,44
1012,295,513,Offside,23
1013,430,422,Injury,50
1014,1502,867,Red Card,68
1015,1002,383,Offside,43
1016,1805,396,Injury,54
1017,1244,337,Injury,83
1018,584,445,Yellow Card,76
1019,854,105,Yellow Card,44
1020,1356,682,Yellow Card,12
1021,986,477,Red Card,75
1022,3,213,Yellow Card,28
1023,867,92,Red Card,56
1024,1764,135,Substitution,75
